text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
"The Massive Tax Cuts, which the Fake News Media is desperate to write badly about so as to please their Democrat bosses, will soon be kicking in and will speak for themselves. Companies are already making big payments to workers. Dems want to raise taxes, hate these big Cuts!",Thu Dec 21 12:24:22 +0000 2017,Twitter for iPhone,False,25744,,Thu Dec 21 12:24:22 +0000 2017
WE ARE MAKING AMERICA GREAT AGAIN! https://t.co/HY353gXV0R,Wed Dec 20 21:44:50 +0000 2017,Media Studio,False,24389,,Wed Dec 20 21:44:50 +0000 2017
"We are delivering HISTORIC TAX RELIEF for the American people!
#TaxCutsandJobsAct https://t.co/lLgATrCh5o",Wed Dec 20 18:09:44 +0000 2017,Twitter for iPhone,False,20933,,Wed Dec 20 18:09:44 +0000 2017
"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/47k9i4p3J2",Wed Dec 20 17:30:26 +0000 2017,Twitter for iPhone,False,15625,,Wed Dec 20 17:30:26 +0000 2017
I would like to congratulate @SenateMajLdr on having done a fantastic job both strategically &amp; politically on the passing in the Senate of the MASSIVE TAX CUT &amp; Reform Bill. I could have not asked for a better or more talented partner. Our team will go onto many more VICTORIES!,Wed Dec 20 16:39:04 +0000 2017,Twitter for iPhone,False,18100,,Wed Dec 20 16:39:04 +0000 2017
"The Tax Cuts are so large and so meaningful, and yet the Fake News is working overtime to follow the lead of their friends, the defeated Dems, and only demean. This is truly a case where the results will speak for themselves, starting very soon. Jobs, Jobs, Jobs!",Wed Dec 20 14:32:51 +0000 2017,Twitter for iPhone,False,18212,25073877,Wed Dec 20 14:32:51 +0000 2017
"The United States Senate just passed the biggest in history Tax Cut and Reform Bill. Terrible Individual Mandate (ObamaCare)Repealed. Goes to the House tomorrow morning for final vote. If approved, there will be a News Conference at The White House at approximately 1:00 P.M.",Wed Dec 20 06:09:06 +0000 2017,Twitter for iPhone,False,32062,,Wed Dec 20 06:09:06 +0000 2017
"Congratulations to Paul Ryan, Kevin McCarthy, Kevin Brady, Steve Scalise, Cathy McMorris Rodgers and all great House Republicans who voted in favor of cutting your taxes!",Tue Dec 19 20:18:12 +0000 2017,Twitter for iPhone,False,24855,,Tue Dec 19 20:18:12 +0000 2017
A  story in the @washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!,Tue Dec 19 15:07:01 +0000 2017,Twitter for iPhone,False,25350,,Tue Dec 19 15:07:01 +0000 2017
"Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy, and create many beautiful JOBS!",Tue Dec 19 11:23:40 +0000 2017,Twitter for iPhone,False,14541,25073877,Tue Dec 19 11:23:40 +0000 2017
DOW RISES 5000 POINTS ON THE YEAR FOR THE FIRST TIME EVER - MAKE AMERICA GREAT AGAIN!,Tue Dec 19 11:04:11 +0000 2017,Twitter for iPhone,False,24588,,Tue Dec 19 11:04:11 +0000 2017
"Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate AMERICAN GREATNESS as a shining example to the world.... https://t.co/ds6tZlgJpA",Tue Dec 19 00:54:32 +0000 2017,Media Studio,False,16843,,Tue Dec 19 00:54:32 +0000 2017
